,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
NL01482,29.0,14.0,16.0,13.0,-,-,-,-,-,-
NL01483,16.0,17.0,18.0,18.0,19.0 *,-,-,-,-,-
NL01485,15.0,15.0,14.0,12.0,11.0 *,-,-,-,-,10.0
NL01487,17.0,17.0,16.0,13.0,15.0,15.0,17.0,15.0,13.0,12.0
NL01488,14.0,13.0,14.0,12.0,12.0,12.0,13.0,11.0,10.0,11.0
NL01489,15.0,15.0,15.0,13.0,12.0,13.0,15.0,12.0,9.2,10.0
NL01491,15.0,14.0,16.0,13.0,11.0,13.0,14.0,13.0,10.0,10.0
NL01494,14.0,15.0,14.0,13.0,12.0,13.0,14.0,13.0,10.0,12.0
NL01495,14.0,13.0,13.0,12.0,9.3,12.0,15.0,12.0,10.0,11.0
NL01496,13.0,13.0,15.0,12.0,11.0,11.0,12.0,11.0,9.0,10.0
NL01913,-,-,-,-,-,-,-,-,-,12.0
NL10131,-,-,12.0,12.0 *,8.8 *,10.0,12.0,12.0,10.0,11.0
NL10136,-,-,12.0,17.0 *,9.3 *,10.0,11.0,10.0,8.2,8.8
NL10138,-,-,9.0,14.0 *,9.4 *,10.0,10.0,8.5,7.2,7.7
NL10230,-,-,14.0,12.0,11.0,11.0,13.0,11.0,10.0,10.0
NL10240,-,-,14.0,14.0 *,11.0,12.0,12.0,11.0,9.4,11.0
NL10241,-,-,15.0,12.0,12.0,11.0,13.0,9.1,7.6,7.7
NL10247,-,-,11.0,11.0 *,11.0,12.0,13.0,12.0,10.0,11.0
NL10404,-,-,-,-,10.0,10.0,10.0,8.6,7.1,6.7
NL10418,-,-,-,-,11.0,10.0,11.0,10.0,8.4,8.4
NL10433,-,-,11.0,11.0 *,9.4 *,10.0 *,16.0 *,-,-,-
NL10444,-,-,11.0,10.0,8.2,10.0,10.0,8.8,8.3,8.5
NL10448,-,-,-,12.0,11.0,12.0,13.0,11.0,10.0,10.0
NL10449,-,-,-,-,-,-,-,-,10.0,10.0
NL10538,-,-,12.0,8.9,8.6 *,9.0,10.0,8.5,7.3,7.3
NL10547,-,-,12.0 *,12.0 *,10.0,10.0,8.2 *,-,-,-
NL10636,-,-,14.0,13.0 *,10.0,11.0,12.0,11.0,10.0,11.0
NL10641,-,-,13.0,12.0 *,9.4,10.0,12.0,10.0,8.5,8.8
NL10643,-,-,10.0,14.0 *,12.0,11.0,12.0,10.0,9.0,11.0
NL10644,-,-,12.0,11.0 *,9.0,10.0,11.0,10.0,7.9,8.1
NL10738,-,-,13.0,12.0 *,9.1,11.0,13.0,11.0,9.2,10.0
NL10741,-,-,15.0 *,13.0 *,11.0,12.0,12.0,11.0,10.0,10.0
NL10742,-,-,15.0,12.0,11.0,12.0,12.0,11.0,10.0,11.0
NL10821,-,-,13.0,12.0 *,11.0,10.0,10.0,8.9,7.6,7.8
NL10934,-,-,11.0,11.0 *,8.8,8.7,10.0,8.3,6.5,6.5
NL10937,-,-,-,11.0 *,10.0,9.4,10.0,8.6,7.3,7.2
NL10938,-,-,-,12.0 *,11.0,10.0,11.0,8.5,6.9,7.7
NL49007,16.0,16.0,16.0,14.0 *,14.0,13.0,13.0,10.0,8.7,10.0
NL49012,17.0,16.0,17.0,16.0,15.0,14.0,15.0,13.0,10.0,11.0
NL49014,15.0,14.0,15.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0
NL49016,14.0,14.0,14.0,11.0,15.0,14.0,14.0,13.0,10.0,10.0
NL49017,17.0,17.0,16.0,14.0,13.0,13.0,14.0,10.0,9.4,11.0
NL49551,15.0,15.0,17.0,15.0,12.0,11.0,14.0,11.0,10.0,10.0
NL49553,15.0,15.0,16.0,15.0,13.0,13.0,13.0,12.0,11.0,11.0
NL49556,-,-,-,-,-,10.0,13.0,12.0,8.7,8.4
NL49557,-,-,-,-,-,-,-,-,-,11.0
NL49561,14.0,15.0,13.0,13.0,14.0,12.0,13.0,12.0,10.0,10.0
NL49570,13.0,13.0,13.0,12.0,11.0,12.0,13.0,12.0,10.0,9.4
NL49572,15.0,15.0,15.0,13.0,12.0,13.0,12.0,11.0,10.0,10.0
NL49573,16.0,17.0,15.0,14.0,16.0,12.0,14.0,15.0,12.0,11.0
NL49701,15.0,15.0,16.0,13.0,12.0,12.0,13.0,11.0,10.0,10.0
NL49703,14.0,15.0,13.0,12.0,13.0,10.0,12.0,12.0,9.1,8.8
NL49704,14.0,16.0,14.0,13.0,11.0,11.0,14.0,12.0,10.0,10.0
NL50003,-,-,-,13.0,11.0,11.0 *,12.0,11.0,-,-
NL50004,-,-,-,12.0,11.0,11.0,13.0,10.0,-,-
NL50006,-,-,-,11.0,12.0,11.0,13.0,12.0,-,-
NL50007,-,-,-,13.0,12.0,11.0,12.0,11.0,-,-
NL50009,-,-,-,-,12.0,12.0,13.0,11.0,-,-
NL53001,15.0,16.0,19.0,16.0,15.0,14.0,14.0,13.0,11.0,11.0
NL53004,-,13.0 *,14.0,14.0,14.0,11.0,11.0,10.0,10.0,11.0

Alle meetpunten
Definitieve data (gevalideerd)
*=  Minder dan 90% van de gekozen periode beschikbaar (uur/dag)
Wijzigingen van eerder gerapporteerde data zie https://www.luchtmeetnet.nl/informatie/download-data/rapportage-correcties. <br/> Meer informatie over o.a. afronding zie  https://www.luchtmeetnet.nl/informatie/download-data/download-statistieken
microgram/m3
Export d.d.:                 04-08-2025
